event_id,session_id,user_id,stage,event_date,device,country,ab_group,time_on_stage_sec
E0000001,S000001,U00001,app_open,2023-07-06,iOS,DE,variant,221
E0000002,S000002,U00001,app_open,2023-08-10,iOS,DE,variant,14
E0000003,S000002,U00001,product_view,2023-08-10,iOS,DE,variant,76
E0000004,S000002,U00001,add_to_cart,2023-08-10,iOS,DE,variant,145
E0000005,S000002,U00001,checkout_start,2023-08-10,iOS,DE,variant,65
E0000006,S000002,U00001,payment_info,2023-08-10,iOS,DE,variant,67
E0000007,S000003,U00002,app_open,2023-06-26,iOS,CZ,variant,157
E0000008,S000004,U00002,app_open,2023-07-27,iOS,CZ,control,170
E0000009,S000004,U00002,product_view,2023-07-27,iOS,CZ,control,78
E0000010,S000005,U00002,app_open,2023-08-21,iOS,CZ,control,156
E0000011,S000005,U00002,product_view,2023-08-21,iOS,CZ,control,212
E0000012,S000005,U00002,add_to_cart,2023-08-21,iOS,CZ,control,102
E0000013,S000005,U00002,checkout_start,2023-08-21,iOS,CZ,control,240
E0000014,S000005,U00002,payment_info,2023-08-21,iOS,CZ,control,158
E0000015,S000005,U00002,order_placed,2023-08-21,iOS,CZ,control,207
E0000016,S000006,U00002,app_open,2023-08-13,iOS,CZ,control,45
E0000017,S000007,U00002,app_open,2023-06-15,iOS,CZ,control,216
E0000018,S000007,U00002,product_view,2023-06-15,iOS,CZ,control,201
E0000019,S000008,U00003,app_open,2023-06-12,Android,DE,variant,236
E0000020,S000009,U00003,app_open,2023-06-04,Android,DE,control,286
E0000021,S000009,U00003,product_view,2023-06-04,Android,DE,control,173
E0000022,S000009,U00003,add_to_cart,2023-06-04,Android,DE,control,61
E0000023,S000009,U00003,checkout_start,2023-06-04,Android,DE,control,204
E0000024,S000009,U00003,payment_info,2023-06-04,Android,DE,control,184
E0000025,S000009,U00003,order_placed,2023-06-04,Android,DE,control,297
E0000026,S000010,U00003,app_open,2023-06-04,Android,DE,control,131
E0000027,S000010,U00003,product_view,2023-06-04,Android,DE,control,144
E0000028,S000011,U00003,app_open,2023-06-05,Android,DE,variant,46
E0000029,S000011,U00003,product_view,2023-06-05,Android,DE,variant,123
E0000030,S000011,U00003,add_to_cart,2023-06-05,Android,DE,variant,144
E0000031,S000011,U00003,checkout_start,2023-06-05,Android,DE,variant,219
E0000032,S000011,U00003,payment_info,2023-06-05,Android,DE,variant,110
E0000033,S000012,U00003,app_open,2023-07-06,Android,DE,variant,56
E0000034,S000012,U00003,product_view,2023-07-06,Android,DE,variant,293
E0000035,S000012,U00003,add_to_cart,2023-07-06,Android,DE,variant,140
E0000036,S000012,U00003,checkout_start,2023-07-06,Android,DE,variant,36
E0000037,S000013,U00004,app_open,2023-08-03,iOS,DE,variant,24
E0000038,S000013,U00004,product_view,2023-08-03,iOS,DE,variant,133
E0000039,S000014,U00004,app_open,2023-06-12,iOS,DE,control,10
E0000040,S000015,U00004,app_open,2023-08-14,iOS,DE,variant,47
E0000041,S000015,U00004,product_view,2023-08-14,iOS,DE,variant,29
E0000042,S000016,U00004,app_open,2023-08-23,iOS,DE,variant,87
E0000043,S000017,U00004,app_open,2023-06-05,iOS,DE,control,292
E0000044,S000018,U00005,app_open,2023-07-24,iOS,PL,variant,211
E0000045,S000019,U00005,app_open,2023-06-05,iOS,PL,variant,42
E0000046,S000020,U00005,app_open,2023-08-17,iOS,PL,control,154
E0000047,S000020,U00005,product_view,2023-08-17,iOS,PL,control,107
E0000048,S000020,U00005,add_to_cart,2023-08-17,iOS,PL,control,173
E0000049,S000020,U00005,checkout_start,2023-08-17,iOS,PL,control,138
E0000050,S000021,U00005,app_open,2023-06-08,iOS,PL,control,106
E0000051,S000021,U00005,product_view,2023-06-08,iOS,PL,control,36
E0000052,S000022,U00005,app_open,2023-08-12,iOS,PL,variant,54
E0000053,S000022,U00005,product_view,2023-08-12,iOS,PL,variant,56
E0000054,S000022,U00005,add_to_cart,2023-08-12,iOS,PL,variant,283
E0000055,S000022,U00005,checkout_start,2023-08-12,iOS,PL,variant,45
E0000056,S000022,U00005,payment_info,2023-08-12,iOS,PL,variant,251
E0000057,S000022,U00005,order_placed,2023-08-12,iOS,PL,variant,49
E0000058,S000023,U00006,app_open,2023-06-15,Android,PL,control,74
E0000059,S000024,U00006,app_open,2023-06-13,Android,PL,variant,163
E0000060,S000025,U00006,app_open,2023-06-03,Android,PL,variant,160
E0000061,S000026,U00006,app_open,2023-08-25,Android,PL,variant,87
E0000062,S000027,U00006,app_open,2023-08-06,Android,PL,variant,50
E0000063,S000027,U00006,product_view,2023-08-06,Android,PL,variant,66
E0000064,S000027,U00006,add_to_cart,2023-08-06,Android,PL,variant,278
E0000065,S000027,U00006,checkout_start,2023-08-06,Android,PL,variant,158
E0000066,S000027,U00006,payment_info,2023-08-06,Android,PL,variant,253
E0000067,S000028,U00007,app_open,2023-08-17,Android,DE,control,228
E0000068,S000028,U00007,product_view,2023-08-17,Android,DE,control,266
E0000069,S000028,U00007,add_to_cart,2023-08-17,Android,DE,control,199
E0000070,S000028,U00007,checkout_start,2023-08-17,Android,DE,control,224
E0000071,S000028,U00007,payment_info,2023-08-17,Android,DE,control,41
E0000072,S000028,U00007,order_placed,2023-08-17,Android,DE,control,45
E0000073,S000029,U00007,app_open,2023-06-05,Android,DE,variant,260
E0000074,S000029,U00007,product_view,2023-06-05,Android,DE,variant,61
E0000075,S000030,U00008,app_open,2023-06-16,iOS,SK,variant,151
E0000076,S000030,U00008,product_view,2023-06-16,iOS,SK,variant,82
E0000077,S000030,U00008,add_to_cart,2023-06-16,iOS,SK,variant,150
E0000078,S000031,U00008,app_open,2023-06-10,iOS,SK,variant,47
E0000079,S000032,U00008,app_open,2023-06-28,iOS,SK,control,215
E0000080,S000032,U00008,product_view,2023-06-28,iOS,SK,control,226
E0000081,S000033,U00008,app_open,2023-06-24,iOS,SK,control,213
E0000082,S000033,U00008,product_view,2023-06-24,iOS,SK,control,181
E0000083,S000033,U00008,add_to_cart,2023-06-24,iOS,SK,control,170
E0000084,S000033,U00008,checkout_start,2023-06-24,iOS,SK,control,259
E0000085,S000034,U00008,app_open,2023-06-10,iOS,SK,control,191
E0000086,S000034,U00008,product_view,2023-06-10,iOS,SK,control,38
E0000087,S000035,U00009,app_open,2023-08-14,iOS,PL,variant,146
E0000088,S000035,U00009,product_view,2023-08-14,iOS,PL,variant,188
E0000089,S000035,U00009,add_to_cart,2023-08-14,iOS,PL,variant,149
E0000090,S000035,U00009,checkout_start,2023-08-14,iOS,PL,variant,118
E0000091,S000036,U00009,app_open,2023-06-04,iOS,PL,control,179
E0000092,S000036,U00009,product_view,2023-06-04,iOS,PL,control,183
E0000093,S000037,U00009,app_open,2023-07-22,iOS,PL,control,191
E0000094,S000038,U00009,app_open,2023-07-08,iOS,PL,variant,99
E0000095,S000038,U00009,product_view,2023-07-08,iOS,PL,variant,49
E0000096,S000038,U00009,add_to_cart,2023-07-08,iOS,PL,variant,204
E0000097,S000038,U00009,checkout_start,2023-07-08,iOS,PL,variant,190
E0000098,S000038,U00009,payment_info,2023-07-08,iOS,PL,variant,18
E0000099,S000038,U00009,order_placed,2023-07-08,iOS,PL,variant,9
E0000100,S000039,U00009,app_open,2023-07-31,iOS,PL,control,26
E0000101,S000039,U00009,product_view,2023-07-31,iOS,PL,control,145
E0000102,S000039,U00009,add_to_cart,2023-07-31,iOS,PL,control,118
E0000103,S000039,U00009,checkout_start,2023-07-31,iOS,PL,control,198
E0000104,S000039,U00009,payment_info,2023-07-31,iOS,PL,control,220
E0000105,S000040,U00010,app_open,2023-06-06,Android,DE,variant,267
E0000106,S000040,U00010,product_view,2023-06-06,Android,DE,variant,57
E0000107,S000041,U00010,app_open,2023-06-01,Android,DE,variant,215
E0000108,S000041,U00010,product_view,2023-06-01,Android,DE,variant,35
E0000109,S000042,U00010,app_open,2023-06-13,Android,DE,control,279
E0000110,S000042,U00010,product_view,2023-06-13,Android,DE,control,246
E0000111,S000042,U00010,add_to_cart,2023-06-13,Android,DE,control,103
E0000112,S000042,U00010,checkout_start,2023-06-13,Android,DE,control,61
E0000113,S000042,U00010,payment_info,2023-06-13,Android,DE,control,87
E0000114,S000042,U00010,order_placed,2023-06-13,Android,DE,control,78
E0000115,S000043,U00010,app_open,2023-08-10,Android,DE,control,94
E0000116,S000043,U00010,product_view,2023-08-10,Android,DE,control,150
E0000117,S000043,U00010,add_to_cart,2023-08-10,Android,DE,control,147
E0000118,S000043,U00010,checkout_start,2023-08-10,Android,DE,control,84
E0000119,S000043,U00010,payment_info,2023-08-10,Android,DE,control,188
E0000120,S000044,U00011,app_open,2023-06-05,iOS,SK,control,52
E0000121,S000044,U00011,product_view,2023-06-05,iOS,SK,control,288
E0000122,S000044,U00011,add_to_cart,2023-06-05,iOS,SK,control,64
E0000123,S000044,U00011,checkout_start,2023-06-05,iOS,SK,control,57
E0000124,S000045,U00011,app_open,2023-07-02,iOS,SK,control,20
E0000125,S000046,U00011,app_open,2023-07-11,iOS,SK,control,231
E0000126,S000047,U00011,app_open,2023-06-22,iOS,SK,variant,276
E0000127,S000047,U00011,product_view,2023-06-22,iOS,SK,variant,8
