order_id,user_id,session_id,order_date,country,device,ab_group,category,order_value_eur,items_count,is_returned
ORD000001,U00002,S000005,2023-08-21,CZ,iOS,control,Fashion,166.97,1,0
ORD000002,U00003,S000009,2023-06-04,DE,Android,control,Sports,216.77,3,0
ORD000003,U00005,S000022,2023-08-12,PL,iOS,variant,Fashion,183.37,3,0
ORD000004,U00007,S000028,2023-08-17,DE,Android,control,Beauty,40.19,3,0
ORD000005,U00009,S000038,2023-07-08,PL,iOS,variant,Electronics,95.28,6,0
ORD000006,U00010,S000042,2023-06-13,DE,Android,control,Sports,81.66,2,0
ORD000007,U00012,S000049,2023-08-11,SK,Android,variant,Home & Garden,190.48,1,0
ORD000008,U00012,S000052,2023-07-04,SK,Android,control,Electronics,187.61,5,0
ORD000009,U00015,S000058,2023-08-17,CZ,iOS,variant,Electronics,287.26,1,0
ORD000010,U00015,S000060,2023-07-18,CZ,iOS,control,Sports,213.69,6,0
ORD000011,U00017,S000065,2023-07-10,DE,Android,control,Sports,69.26,3,0
ORD000012,U00018,S000066,2023-06-02,DE,Android,control,Sports,226.71,3,0
ORD000013,U00018,S000069,2023-06-18,DE,Android,variant,Fashion,64.02,2,1
ORD000014,U00020,S000077,2023-06-07,PL,iOS,control,Beauty,177.78,3,0
ORD000015,U00021,S000078,2023-08-14,DE,iOS,variant,Fashion,224.2,6,0
ORD000016,U00021,S000079,2023-07-16,DE,iOS,variant,Electronics,91.68,6,0
ORD000017,U00023,S000088,2023-07-27,CZ,Android,control,Electronics,145.88,5,1
ORD000018,U00026,S000097,2023-06-04,DE,iOS,variant,Fashion,28.59,1,0
ORD000019,U00029,S000107,2023-06-18,DE,Android,control,Fashion,35.43,1,0
ORD000020,U00029,S000109,2023-07-05,DE,Android,control,Electronics,41.05,3,0
ORD000021,U00031,S000119,2023-06-12,DE,Android,variant,Beauty,128.27,1,0
ORD000022,U00032,S000120,2023-06-28,SK,Android,variant,Beauty,71.83,3,0
ORD000023,U00033,S000122,2023-08-06,DE,Android,variant,Beauty,33.81,2,1
ORD000024,U00033,S000124,2023-07-19,DE,Android,control,Home & Garden,216.14,2,0
ORD000025,U00034,S000125,2023-08-17,SK,Android,variant,Electronics,164.19,5,0
ORD000026,U00034,S000126,2023-07-25,SK,Android,control,Electronics,28.92,1,0
ORD000027,U00035,S000130,2023-08-14,DE,Android,variant,Beauty,177.96,4,0
ORD000028,U00035,S000131,2023-08-09,DE,Android,variant,Electronics,148.89,1,0
ORD000029,U00038,S000138,2023-07-31,DE,iOS,control,Sports,263.78,4,0
ORD000030,U00039,S000146,2023-08-28,CZ,iOS,control,Fashion,65.65,4,0
ORD000031,U00039,S000147,2023-06-07,CZ,iOS,variant,Home & Garden,182.78,1,0
ORD000032,U00042,S000159,2023-07-11,DE,Android,control,Sports,217.64,5,0
ORD000033,U00043,S000162,2023-06-12,DE,Android,variant,Home & Garden,46.6,1,0
ORD000034,U00043,S000163,2023-08-08,DE,Android,variant,Fashion,65.85,5,0
ORD000035,U00046,S000172,2023-07-16,DE,Android,variant,Beauty,289.02,5,0
ORD000036,U00048,S000179,2023-08-12,PL,iOS,variant,Fashion,63.51,5,0
ORD000037,U00049,S000181,2023-07-08,CZ,Android,control,Beauty,132.38,3,0
ORD000038,U00051,S000186,2023-06-03,PL,iOS,control,Beauty,115.82,1,0
ORD000039,U00051,S000187,2023-07-22,PL,iOS,variant,Sports,263.98,6,0
ORD000040,U00053,S000195,2023-08-08,DE,iOS,variant,Beauty,39.29,6,0
ORD000041,U00055,S000202,2023-08-08,RO,Android,control,Sports,20.14,5,0
ORD000042,U00056,S000204,2023-07-01,DE,iOS,variant,Beauty,135.86,2,0
ORD000043,U00056,S000205,2023-06-03,DE,iOS,variant,Home & Garden,142.97,2,0
ORD000044,U00057,S000209,2023-07-19,DE,iOS,variant,Electronics,198.92,2,0
ORD000045,U00062,S000223,2023-07-10,DE,iOS,variant,Home & Garden,26.07,3,0
ORD000046,U00064,S000233,2023-07-12,PL,iOS,control,Beauty,213.14,6,0
ORD000047,U00065,S000234,2023-07-15,PL,Android,variant,Sports,147.05,2,0
ORD000048,U00066,S000240,2023-08-25,RO,Android,control,Electronics,290.75,4,1
ORD000049,U00067,S000242,2023-08-26,DE,Android,control,Home & Garden,255.71,6,0
ORD000050,U00069,S000251,2023-08-26,DE,Android,variant,Fashion,33.04,3,0
ORD000051,U00071,S000255,2023-08-03,RO,iOS,control,Fashion,177.67,6,0
