user_id,country,device,user_type,registration_date,age_group
U00001,DE,iOS,new,2023-11-24,25-34
U00002,CZ,iOS,new,2023-02-22,45-54
U00003,DE,Android,returning,2023-01-17,18-24
U00004,DE,iOS,returning,2023-10-15,25-34
U00005,PL,iOS,new,2023-08-18,25-34
U00006,PL,Android,new,2023-12-24,35-44
U00007,DE,Android,returning,2023-02-22,55+
U00008,SK,iOS,returning,2023-05-16,45-54
U00009,PL,iOS,returning,2023-02-10,35-44
U00010,DE,Android,returning,2023-10-23,35-44
U00011,SK,iOS,new,2023-02-10,45-54
U00012,SK,Android,new,2023-11-22,35-44
U00013,RO,iOS,returning,2023-12-26,25-34
U00014,CZ,Android,new,2023-10-01,55+
U00015,CZ,iOS,returning,2023-04-23,25-34
U00016,SK,Android,new,2023-01-17,55+
U00017,DE,Android,returning,2023-06-11,45-54
U00018,DE,Android,returning,2023-03-15,35-44
U00019,PL,Android,new,2023-10-27,25-34
U00020,PL,iOS,returning,2023-09-18,25-34
U00021,DE,iOS,returning,2023-11-18,45-54
U00022,PL,Android,new,2023-07-15,55+
U00023,CZ,Android,returning,2023-01-06,35-44
U00024,DE,Android,new,2023-11-25,18-24
U00025,RO,iOS,returning,2023-05-15,18-24
U00026,DE,iOS,returning,2023-11-17,25-34
U00027,CZ,Android,returning,2023-07-11,55+
U00028,PL,Android,new,2023-01-01,35-44
U00029,DE,Android,returning,2023-06-07,18-24
U00030,CZ,iOS,returning,2023-02-13,55+
U00031,DE,Android,returning,2023-03-06,35-44
U00032,SK,Android,new,2023-09-28,55+
U00033,DE,Android,returning,2023-12-20,35-44
U00034,SK,Android,new,2023-08-13,18-24
U00035,DE,Android,returning,2023-06-23,18-24
U00036,CZ,Android,new,2023-02-06,18-24
U00037,DE,Android,returning,2023-06-19,25-34
U00038,DE,iOS,returning,2023-10-04,45-54
U00039,CZ,iOS,new,2023-05-05,18-24
U00040,PL,Android,returning,2023-12-04,18-24
U00041,CZ,iOS,new,2023-12-11,35-44
U00042,DE,Android,new,2023-02-25,45-54
U00043,DE,Android,returning,2023-04-04,45-54
U00044,DE,iOS,returning,2023-10-09,18-24
U00045,RO,iOS,new,2023-02-17,45-54
U00046,DE,Android,new,2023-09-04,45-54
U00047,RO,Android,returning,2023-01-02,45-54
U00048,PL,iOS,returning,2023-05-27,55+
U00049,CZ,Android,new,2023-12-05,18-24
U00050,CZ,Android,new,2023-10-24,18-24
U00051,PL,iOS,returning,2023-10-27,18-24
U00052,DE,Android,returning,2023-09-18,25-34
U00053,DE,iOS,new,2023-07-26,55+
U00054,PL,Android,returning,2023-01-21,55+
U00055,RO,Android,returning,2023-06-11,25-34
U00056,DE,iOS,new,2023-05-16,35-44
U00057,DE,iOS,returning,2023-02-07,18-24
U00058,PL,Android,new,2023-02-07,35-44
U00059,SK,Android,new,2023-02-05,55+
U00060,DE,iOS,returning,2023-12-27,55+
U00061,CZ,Android,returning,2023-01-05,18-24
U00062,DE,iOS,returning,2023-03-10,25-34
U00063,DE,Android,new,2023-05-20,35-44
U00064,PL,iOS,returning,2023-09-16,18-24
U00065,PL,Android,new,2023-11-21,25-34
U00066,RO,Android,new,2023-11-23,45-54
U00067,DE,Android,returning,2023-10-15,25-34
U00068,DE,Android,returning,2023-10-07,45-54
U00069,DE,Android,returning,2023-03-07,18-24
U00070,DE,Android,new,2023-07-03,55+
U00071,RO,iOS,returning,2023-07-28,25-34
U00072,RO,iOS,returning,2023-03-25,18-24
U00073,CZ,Android,returning,2023-04-02,25-34
U00074,DE,iOS,new,2023-05-17,18-24
U00075,DE,iOS,returning,2023-08-29,35-44
U00076,DE,iOS,new,2023-04-27,35-44
U00077,RO,Android,returning,2023-02-05,45-54
U00078,RO,Android,returning,2023-12-14,18-24
U00079,DE,iOS,new,2023-05-14,18-24
U00080,PL,iOS,new,2023-11-02,55+
U00081,DE,iOS,new,2023-09-19,18-24
U00082,PL,Android,returning,2023-12-29,25-34
U00083,PL,iOS,returning,2023-07-06,55+
U00084,CZ,Android,returning,2023-06-10,55+
U00085,CZ,Android,returning,2023-06-08,55+
U00086,DE,iOS,new,2023-03-07,25-34
U00087,PL,Android,returning,2023-11-12,35-44
U00088,DE,iOS,returning,2023-05-27,35-44
U00089,PL,iOS,returning,2023-08-27,25-34
U00090,DE,Android,returning,2023-12-04,35-44
U00091,SK,iOS,returning,2023-02-17,25-34
U00092,DE,Android,returning,2023-04-12,55+
U00093,PL,iOS,returning,2023-02-07,45-54
U00094,DE,Android,returning,2023-09-11,18-24
U00095,DE,iOS,returning,2023-08-06,45-54
U00096,PL,iOS,new,2023-01-26,25-34
U00097,CZ,iOS,returning,2023-08-26,45-54
U00098,SK,iOS,new,2023-11-10,55+
U00099,SK,iOS,returning,2023-08-17,35-44
U00100,SK,Android,returning,2023-05-07,45-54
U00101,DE,Android,returning,2023-11-17,25-34
U00102,DE,iOS,new,2023-05-20,25-34
U00103,DE,Android,new,2023-04-29,45-54
U00104,DE,Android,new,2023-07-28,45-54
U00105,RO,Android,returning,2023-07-19,55+
U00106,PL,iOS,new,2023-07-14,45-54
U00107,PL,iOS,returning,2023-08-03,25-34
U00108,DE,Android,new,2023-09-07,35-44
U00109,CZ,Android,new,2023-12-09,45-54
U00110,RO,Android,returning,2023-03-07,55+
U00111,CZ,Android,new,2023-10-16,45-54
U00112,DE,Android,new,2023-04-04,35-44
U00113,CZ,Android,returning,2023-06-22,45-54
U00114,SK,Android,returning,2023-05-10,18-24
U00115,DE,Android,returning,2023-06-29,18-24
U00116,RO,Android,new,2023-01-16,25-34
U00117,DE,iOS,returning,2023-05-03,25-34
U00118,CZ,iOS,new,2023-08-27,55+
U00119,CZ,Android,new,2023-02-28,55+
U00120,RO,Android,returning,2023-01-14,45-54
U00121,RO,Android,returning,2023-07-23,25-34
U00122,CZ,Android,returning,2023-02-22,18-24
U00123,CZ,Android,new,2023-10-17,35-44
U00124,PL,Android,returning,2023-02-05,45-54
U00125,PL,Android,returning,2023-02-24,45-54
U00126,DE,Android,returning,2023-12-29,35-44
U00127,SK,Android,returning,2023-11-12,45-54
U00128,DE,iOS,returning,2023-10-31,18-24
U00129,SK,Android,returning,2023-05-23,55+
U00130,DE,Android,returning,2023-12-09,25-34
U00131,DE,iOS,new,2023-09-07,55+
U00132,SK,Android,returning,2023-12-26,25-34
U00133,DE,Android,returning,2023-02-13,25-34
U00134,PL,iOS,new,2023-12-20,18-24
U00135,DE,Android,new,2023-02-17,55+
U00136,PL,Android,new,2023-07-08,55+
U00137,DE,Android,new,2023-06-19,25-34
U00138,CZ,Android,returning,2023-03-03,25-34
U00139,DE,Android,returning,2023-04-09,55+
U00140,DE,Android,new,2023-11-02,25-34
U00141,DE,Android,returning,2023-07-04,35-44
U00142,RO,Android,returning,2023-01-24,25-34
U00143,SK,Android,returning,2023-11-23,55+
U00144,PL,Android,new,2023-05-26,18-24
U00145,RO,Android,returning,2023-05-10,45-54
U00146,DE,iOS,new,2023-09-09,25-34
U00147,RO,Android,new,2023-10-16,55+
U00148,PL,iOS,new,2023-08-02,55+
U00149,PL,Android,returning,2023-07-14,45-54
U00150,PL,Android,returning,2023-06-06,18-24
U00151,PL,Android,new,2023-04-17,25-34
U00152,PL,Android,new,2023-03-30,55+
U00153,DE,Android,returning,2023-08-29,45-54
U00154,CZ,iOS,returning,2023-02-06,55+
U00155,SK,Android,new,2023-12-05,25-34
U00156,DE,Android,new,2023-11-28,18-24
U00157,CZ,Android,returning,2023-03-26,35-44
U00158,DE,iOS,returning,2023-08-13,35-44
U00159,PL,Android,returning,2023-09-14,45-54
U00160,PL,Android,new,2023-06-15,55+
U00161,RO,iOS,returning,2023-10-28,35-44
U00162,DE,iOS,returning,2023-10-23,45-54
U00163,DE,Android,returning,2023-05-23,45-54
U00164,PL,Android,new,2023-02-16,18-24
U00165,DE,iOS,new,2023-03-24,45-54
U00166,DE,Android,new,2023-10-09,18-24
U00167,SK,iOS,new,2023-07-26,55+
U00168,PL,Android,new,2023-08-25,45-54
U00169,PL,Android,new,2023-11-17,25-34
U00170,PL,iOS,new,2023-05-28,55+
U00171,CZ,Android,new,2023-05-03,45-54
U00172,DE,iOS,new,2023-02-17,18-24
U00173,SK,Android,returning,2023-11-28,55+
U00174,DE,iOS,returning,2023-12-28,25-34
U00175,PL,Android,returning,2023-08-22,55+
U00176,SK,Android,returning,2023-03-11,45-54
U00177,RO,Android,returning,2023-06-24,35-44
U00178,SK,Android,returning,2023-06-02,25-34
U00179,PL,Android,returning,2023-08-17,55+
U00180,PL,Android,new,2023-07-13,25-34
U00181,DE,iOS,new,2023-10-20,35-44
U00182,CZ,iOS,new,2023-08-31,25-34
U00183,RO,Android,returning,2023-09-11,35-44
U00184,SK,Android,returning,2023-02-21,45-54
U00185,CZ,Android,returning,2023-01-08,25-34
U00186,PL,iOS,new,2023-02-08,45-54
U00187,DE,Android,returning,2023-11-29,55+
U00188,RO,iOS,returning,2023-07-14,45-54
U00189,DE,Android,returning,2023-10-05,35-44
U00190,CZ,Android,new,2023-04-27,18-24
U00191,DE,Android,new,2023-08-16,35-44
U00192,DE,Android,new,2023-01-29,55+
U00193,PL,iOS,new,2023-07-30,18-24
U00194,SK,iOS,new,2023-11-09,55+
U00195,DE,iOS,returning,2023-03-15,18-24
U00196,RO,iOS,new,2023-08-27,45-54
U00197,RO,Android,returning,2023-06-26,35-44
U00198,SK,Android,new,2023-08-22,45-54
U00199,DE,Android,returning,2023-02-24,35-44
U00200,RO,iOS,new,2023-01-12,55+
U00201,CZ,iOS,returning,2023-12-18,45-54
U00202,CZ,Android,returning,2023-05-27,25-34
U00203,DE,Android,returning,2023-11-22,25-34
U00204,DE,iOS,new,2023-11-18,45-54
U00205,PL,iOS,new,2023-01-18,35-44
U00206,CZ,Android,new,2023-06-17,55+
U00207,PL,iOS,returning,2023-07-07,35-44
U00208,RO,Android,returning,2023-09-04,18-24
U00209,RO,Android,returning,2023-08-28,45-54
U00210,DE,iOS,new,2023-10-13,55+
U00211,PL,iOS,returning,2023-03-05,55+
U00212,SK,iOS,new,2023-07-15,25-34
U00213,DE,iOS,returning,2023-08-30,55+
U00214,PL,iOS,returning,2023-04-24,35-44
U00215,PL,Android,returning,2023-11-29,35-44
U00216,DE,Android,returning,2023-09-10,45-54
U00217,DE,iOS,returning,2023-08-21,55+
U00218,PL,iOS,returning,2023-08-03,18-24
U00219,PL,iOS,new,2023-09-08,35-44
U00220,PL,iOS,returning,2023-04-22,18-24
U00221,DE,iOS,returning,2023-12-18,18-24
U00222,DE,iOS,returning,2023-07-23,45-54
U00223,CZ,iOS,returning,2023-02-16,18-24
U00224,CZ,Android,new,2023-01-26,55+
U00225,DE,iOS,new,2023-04-16,25-34
U00226,DE,Android,returning,2023-04-30,18-24
U00227,SK,Android,new,2023-05-22,35-44
U00228,DE,iOS,new,2023-03-31,35-44
U00229,PL,Android,new,2023-05-02,25-34
U00230,PL,iOS,returning,2023-08-04,35-44
U00231,PL,Android,new,2023-09-20,55+
U00232,CZ,iOS,returning,2023-01-23,35-44
U00233,PL,Android,returning,2023-08-23,45-54
U00234,CZ,Android,returning,2023-08-07,18-24
U00235,DE,Android,new,2023-02-11,55+
U00236,PL,iOS,new,2023-11-21,55+
U00237,DE,Android,new,2023-09-29,18-24
U00238,CZ,iOS,returning,2023-12-02,25-34
U00239,PL,Android,new,2023-08-09,45-54
U00240,PL,Android,new,2023-07-24,35-44
U00241,RO,iOS,returning,2023-07-11,18-24
U00242,DE,Android,returning,2023-02-13,25-34
U00243,DE,iOS,returning,2023-10-12,18-24
U00244,DE,iOS,returning,2023-07-30,18-24
U00245,PL,Android,returning,2023-05-28,25-34
U00246,CZ,Android,new,2023-03-21,55+
U00247,DE,Android,new,2023-07-08,45-54
U00248,RO,iOS,returning,2023-10-15,55+
U00249,PL,iOS,returning,2023-01-14,18-24
U00250,DE,iOS,returning,2023-04-03,35-44
U00251,DE,Android,returning,2023-01-04,18-24
U00252,CZ,iOS,new,2023-03-14,55+
U00253,DE,Android,new,2023-04-21,35-44
U00254,CZ,Android,new,2023-06-16,18-24
U00255,DE,iOS,returning,2023-03-21,35-44
U00256,CZ,Android,new,2023-08-15,35-44
U00257,CZ,Android,new,2023-04-21,35-44
U00258,CZ,Android,returning,2023-12-14,18-24
U00259,DE,Android,new,2023-04-23,35-44
U00260,CZ,iOS,new,2023-04-19,18-24
U00261,PL,Android,new,2023-01-04,55+
U00262,DE,Android,returning,2023-12-27,35-44
U00263,DE,iOS,new,2023-02-06,45-54
U00264,SK,Android,returning,2023-02-09,45-54
U00265,DE,Android,new,2023-05-29,55+
U00266,SK,iOS,new,2023-08-24,18-24
U00267,PL,Android,new,2023-05-05,35-44
U00268,DE,iOS,new,2023-06-23,18-24
U00269,PL,iOS,new,2023-09-29,25-34
U00270,DE,Android,new,2023-05-01,25-34
U00271,DE,iOS,returning,2023-12-02,45-54
U00272,CZ,Android,returning,2023-10-16,55+
U00273,PL,iOS,returning,2023-11-26,35-44
U00274,PL,Android,returning,2023-03-19,35-44
U00275,DE,Android,new,2023-10-30,45-54
U00276,DE,iOS,new,2023-01-20,18-24
U00277,PL,Android,returning,2023-11-11,18-24
U00278,RO,Android,new,2023-08-19,55+
U00279,PL,iOS,returning,2023-09-01,35-44
U00280,PL,Android,new,2023-02-13,45-54
U00281,PL,iOS,new,2023-08-13,35-44
U00282,PL,Android,returning,2023-07-18,35-44
U00283,DE,Android,new,2023-02-03,35-44
U00284,RO,iOS,new,2023-12-03,18-24
U00285,CZ,iOS,new,2023-10-26,45-54
U00286,PL,iOS,new,2023-03-08,45-54
U00287,CZ,iOS,returning,2023-11-26,55+
U00288,PL,Android,new,2023-02-17,35-44
U00289,DE,Android,returning,2023-06-08,45-54
U00290,DE,Android,new,2023-04-09,18-24
U00291,CZ,iOS,returning,2023-09-17,18-24
U00292,DE,iOS,new,2023-12-05,45-54
U00293,DE,iOS,returning,2023-03-20,25-34
U00294,DE,Android,returning,2023-08-13,45-54
U00295,DE,iOS,new,2023-11-09,55+
U00296,DE,iOS,returning,2023-05-03,25-34
U00297,CZ,Android,new,2023-07-08,35-44
U00298,PL,Android,new,2023-07-15,25-34
U00299,DE,Android,returning,2023-11-06,35-44
U00300,RO,iOS,returning,2023-10-11,18-24
U00301,DE,Android,new,2023-05-26,55+
U00302,SK,Android,returning,2023-03-17,45-54
U00303,RO,Android,new,2023-06-28,35-44
U00304,DE,Android,new,2023-05-01,35-44
U00305,SK,iOS,returning,2023-02-20,25-34
U00306,DE,iOS,returning,2023-01-20,25-34
U00307,PL,iOS,returning,2023-12-28,18-24
U00308,DE,Android,returning,2023-05-12,55+
U00309,PL,iOS,new,2023-09-28,18-24
U00310,DE,iOS,returning,2023-01-25,18-24
U00311,SK,Android,returning,2023-02-26,55+
U00312,DE,Android,new,2023-10-22,55+
U00313,DE,Android,returning,2023-06-30,18-24
U00314,RO,Android,returning,2023-09-26,55+
U00315,PL,Android,returning,2023-09-17,45-54
U00316,DE,Android,returning,2023-07-11,35-44
U00317,CZ,iOS,returning,2023-05-04,35-44
U00318,DE,Android,returning,2023-03-10,25-34
U00319,PL,iOS,returning,2023-12-17,25-34
U00320,CZ,iOS,new,2023-02-02,25-34
U00321,CZ,iOS,new,2023-01-23,35-44
U00322,DE,iOS,returning,2023-09-21,18-24
U00323,DE,Android,returning,2023-11-28,35-44
U00324,DE,Android,returning,2023-05-20,45-54
U00325,DE,Android,returning,2023-07-17,35-44
U00326,DE,Android,new,2023-09-23,45-54
U00327,RO,Android,new,2023-11-05,18-24
U00328,DE,Android,new,2023-02-10,45-54
U00329,CZ,Android,new,2023-03-27,35-44
U00330,RO,Android,returning,2023-11-11,18-24
U00331,CZ,Android,returning,2023-02-08,25-34
U00332,DE,iOS,returning,2023-01-16,18-24
U00333,DE,iOS,new,2023-03-06,45-54
U00334,DE,Android,new,2023-10-18,35-44
U00335,PL,Android,new,2023-07-10,35-44
U00336,DE,Android,returning,2023-07-23,18-24
U00337,PL,Android,returning,2023-04-06,35-44
U00338,CZ,Android,returning,2023-05-14,45-54
U00339,DE,iOS,returning,2023-04-13,45-54
U00340,SK,iOS,returning,2023-02-14,35-44
U00341,DE,Android,returning,2023-12-30,25-34
U00342,CZ,iOS,new,2023-12-31,35-44
U00343,DE,iOS,returning,2023-09-18,25-34
U00344,DE,Android,new,2023-09-10,55+
U00345,PL,Android,new,2023-03-08,45-54
U00346,PL,Android,returning,2023-09-27,25-34
U00347,PL,Android,returning,2023-06-12,35-44
U00348,SK,iOS,returning,2023-03-07,25-34
U00349,PL,iOS,new,2023-03-08,18-24
U00350,DE,Android,new,2023-09-23,25-34
U00351,RO,Android,new,2023-06-27,18-24
U00352,DE,iOS,new,2023-05-09,35-44
U00353,PL,Android,new,2023-11-11,55+
U00354,DE,iOS,returning,2023-03-20,35-44
U00355,DE,iOS,new,2023-10-16,55+
U00356,CZ,iOS,new,2023-05-16,18-24
U00357,SK,Android,returning,2023-09-12,35-44
U00358,DE,iOS,new,2023-09-05,45-54
U00359,CZ,Android,new,2023-02-07,45-54
U00360,DE,Android,returning,2023-04-15,35-44
U00361,RO,Android,new,2023-06-26,55+
U00362,DE,Android,new,2023-02-24,25-34
U00363,DE,Android,new,2023-03-14,55+
U00364,DE,iOS,new,2023-08-03,35-44
U00365,CZ,Android,new,2023-10-23,55+
U00366,PL,Android,new,2023-08-28,45-54
U00367,PL,Android,returning,2023-09-16,18-24
U00368,DE,Android,returning,2023-01-26,45-54
U00369,PL,iOS,new,2023-05-27,35-44
U00370,CZ,Android,new,2023-07-07,55+
U00371,DE,Android,new,2023-10-15,55+
U00372,CZ,Android,returning,2023-08-19,55+
U00373,DE,Android,new,2023-03-02,35-44
U00374,RO,iOS,new,2023-10-13,55+
U00375,PL,Android,new,2023-07-25,35-44
U00376,PL,Android,returning,2023-08-31,25-34
U00377,RO,Android,new,2023-06-17,55+
U00378,PL,Android,returning,2023-06-03,45-54
U00379,PL,Android,new,2023-12-29,35-44
U00380,DE,Android,new,2023-12-11,18-24
U00381,PL,iOS,returning,2023-11-02,55+
U00382,DE,Android,returning,2023-10-23,55+
U00383,CZ,iOS,new,2023-11-19,25-34
U00384,PL,iOS,new,2023-01-17,45-54
U00385,PL,Android,new,2023-06-10,55+
U00386,RO,iOS,returning,2023-11-10,18-24
U00387,DE,Android,new,2023-12-28,45-54
U00388,DE,iOS,returning,2023-09-27,55+
U00389,PL,iOS,returning,2023-06-25,35-44
U00390,PL,iOS,new,2023-11-09,35-44
U00391,RO,iOS,returning,2023-04-26,25-34
U00392,CZ,Android,new,2023-12-20,35-44
U00393,DE,iOS,new,2023-05-28,45-54
U00394,RO,iOS,new,2023-06-26,35-44
U00395,DE,Android,new,2023-02-10,45-54
U00396,DE,Android,returning,2023-04-20,35-44
U00397,DE,iOS,new,2023-03-12,18-24
U00398,RO,Android,new,2023-12-09,18-24
U00399,DE,Android,returning,2023-07-31,25-34
U00400,RO,iOS,new,2023-01-03,45-54
U00401,CZ,iOS,new,2023-09-02,35-44
U00402,DE,iOS,returning,2023-11-27,25-34
U00403,CZ,iOS,new,2023-10-01,25-34
U00404,SK,Android,returning,2023-08-02,45-54
U00405,DE,iOS,returning,2023-09-11,35-44
U00406,DE,Android,new,2023-01-20,35-44
U00407,PL,iOS,returning,2023-05-26,25-34
U00408,PL,Android,new,2023-09-16,25-34
U00409,PL,iOS,new,2023-08-23,35-44
U00410,PL,iOS,new,2023-06-01,45-54
U00411,PL,Android,returning,2023-08-07,25-34
U00412,PL,iOS,new,2023-03-13,45-54
U00413,PL,Android,new,2023-05-01,55+
U00414,DE,iOS,returning,2023-10-21,18-24
U00415,DE,Android,new,2023-12-08,55+
U00416,CZ,iOS,returning,2023-12-27,35-44
U00417,PL,Android,new,2023-07-08,25-34
U00418,CZ,iOS,new,2023-08-21,55+
U00419,CZ,iOS,returning,2023-08-30,25-34
U00420,CZ,iOS,new,2023-12-15,45-54
U00421,CZ,Android,returning,2023-09-28,18-24
U00422,RO,Android,returning,2023-10-08,25-34
U00423,SK,Android,returning,2023-06-17,55+
U00424,DE,Android,returning,2023-09-08,45-54
U00425,PL,Android,new,2023-03-09,45-54
U00426,SK,iOS,new,2023-12-11,18-24
U00427,PL,Android,new,2023-04-22,18-24
U00428,RO,iOS,new,2023-10-05,45-54
U00429,DE,Android,new,2023-01-17,45-54
U00430,RO,Android,returning,2023-07-11,45-54
U00431,DE,iOS,returning,2023-07-12,25-34
U00432,SK,Android,returning,2023-12-01,45-54
U00433,DE,iOS,returning,2023-09-28,18-24
U00434,PL,iOS,new,2023-06-02,45-54
U00435,DE,Android,new,2023-04-28,18-24
U00436,SK,Android,returning,2023-01-17,18-24
U00437,DE,Android,new,2023-05-04,55+
U00438,CZ,Android,returning,2023-12-11,45-54
U00439,DE,Android,returning,2023-08-13,18-24
U00440,PL,Android,returning,2023-03-13,55+
U00441,PL,iOS,returning,2023-06-13,25-34
U00442,SK,iOS,returning,2023-06-04,45-54
U00443,DE,Android,returning,2023-06-03,25-34
U00444,CZ,Android,new,2023-11-17,35-44
U00445,CZ,iOS,new,2023-11-26,45-54
U00446,DE,Android,returning,2023-07-29,45-54
U00447,SK,Android,returning,2023-05-04,45-54
U00448,PL,iOS,returning,2023-01-30,25-34
U00449,DE,Android,returning,2023-07-18,45-54
U00450,DE,iOS,new,2023-07-09,35-44
U00451,CZ,iOS,returning,2023-07-13,25-34
U00452,CZ,Android,returning,2023-10-28,35-44
U00453,RO,Android,returning,2023-06-05,18-24
U00454,RO,iOS,returning,2023-09-03,45-54
U00455,PL,iOS,new,2023-05-03,55+
U00456,DE,Android,returning,2023-11-29,45-54
U00457,DE,iOS,returning,2023-08-27,35-44
U00458,DE,Android,returning,2023-04-15,25-34
U00459,DE,Android,returning,2023-03-16,45-54
U00460,DE,Android,new,2023-06-01,25-34
U00461,PL,iOS,new,2023-09-13,45-54
U00462,CZ,Android,returning,2023-11-25,35-44
U00463,DE,Android,new,2023-03-28,55+
U00464,RO,Android,returning,2023-11-25,18-24
U00465,DE,Android,new,2023-12-09,25-34
U00466,CZ,Android,returning,2023-02-04,35-44
U00467,PL,iOS,returning,2023-01-31,45-54
U00468,PL,Android,returning,2023-12-04,18-24
U00469,PL,Android,returning,2023-01-09,18-24
U00470,SK,iOS,returning,2023-09-15,25-34
U00471,RO,Android,new,2023-02-24,55+
U00472,DE,Android,returning,2023-09-27,18-24
U00473,RO,Android,new,2023-07-11,25-34
U00474,CZ,iOS,returning,2023-06-03,18-24
U00475,PL,Android,returning,2023-02-17,18-24
U00476,DE,Android,new,2023-12-26,35-44
U00477,RO,iOS,returning,2023-10-17,18-24
U00478,DE,iOS,returning,2023-04-28,45-54
U00479,DE,Android,returning,2023-05-19,55+
U00480,CZ,Android,returning,2023-10-16,18-24
U00481,PL,iOS,returning,2023-04-17,45-54
U00482,DE,Android,returning,2023-02-09,45-54
U00483,SK,Android,returning,2023-12-13,25-34
U00484,CZ,Android,returning,2023-12-19,18-24
U00485,PL,iOS,new,2023-02-20,55+
U00486,DE,iOS,new,2023-11-01,35-44
U00487,PL,Android,returning,2023-08-19,45-54
U00488,CZ,iOS,new,2023-04-06,55+
U00489,CZ,iOS,new,2023-06-01,25-34
U00490,CZ,iOS,returning,2023-07-14,35-44
U00491,DE,Android,new,2023-07-04,35-44
U00492,DE,Android,new,2023-05-19,55+
U00493,PL,Android,new,2023-10-12,55+
U00494,PL,iOS,returning,2023-02-17,18-24
U00495,PL,iOS,returning,2023-05-30,55+
U00496,PL,Android,new,2023-05-05,25-34
U00497,DE,Android,new,2023-05-18,45-54
U00498,PL,Android,new,2023-05-22,35-44
U00499,CZ,Android,returning,2023-05-07,45-54
U00500,DE,Android,new,2023-02-24,55+
U00501,SK,Android,new,2023-07-14,55+
